key,registrationMoment,passengerEmail,description,type,draftMode,key:assistanceAgent,key:leg
claim-14,2012/07/02 00:00,acme9@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor.",FLIGHT_ISSUES,true,agent-01,leg-37
claim-15,2012/07/02 00:00,acme10@lorem-ipsum.org,โลเร็ม อิปซัม,FLIGHT_ISSUES,true,agent-01,leg-37
claim-16,2012/07/02 00:00,acme11@lorem-ipsum.org,لوريم إيبسوم,FLIGHT_ISSUES,true,agent-01,leg-37
claim-17,2012/07/02 00:00,acme12@lorem-ipsum.org,洛伦·伊پ森,FLIGHT_ISSUES,true,agent-01,leg-37
claim-18,2012/07/02 00:00,acme13@lorem-ipsum.org,<marquee>Hacked</marquee>,FLIGHT_ISSUES,true,agent-01,leg-37
claim-19,2012/07/02 00:00,acme14@lorem-ipsum.org,<script>alert('Hacked!');</script>,FLIGHT_ISSUES,true,agent-01,leg-37
claim-20,2012/07/02 00:00,acme15@lorem-ipsum.org,' or 'A' = 'A,FLIGHT_ISSUES,true,agent-01,leg-37
# description - no singular values
# type - standard variations
claim-21,2012/07/02 00:00,acme16@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing",LUGGAGE_ISSUES,true,agent-01,leg-37
claim-22,2012/07/02 00:00,acme17@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing",SECURITY_INCIDENT,true,agent-01,leg-37
claim-23,2012/07/02 00:00,acme18@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing",OTHER_ISSUES,true,agent-01,leg-37
# type - no singular values
# draftMode - standard variations
claim-24,2012/07/02 00:00,acme19@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing",FLIGHT_ISSUES,true,agent-01,leg-37
claim-25,2012/07/02 00:00,acme20@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing",FLIGHT_ISSUES,false,agent-01,leg-37
# draftMode - no singular values
# assistanceAgent - standard variations
claim-26,2012/07/02 00:00,acme21@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing",FLIGHT_ISSUES,true,agent-02,leg-37
# assistanceAgent - no singular values
# leg - standard variations
claim-27,2012/07/02 00:00,acme22@lorem-ipsum.org,"Lorem ipsum dolor sit amet, consectetur adipiscing",FLIGHT_ISSUES,true,agent-01,leg-39
# leg - no singular values
